"Survived","Pclass","Sex","Age","SibSp","Parch","Embarked"
"0","3","male",22,"1","0","S"
"1","1","female",46,"1","0","C"
"1","3","female",28,"0","0","S"
"1","1","female",42,"1","0","S"
"0","3","male",42,"0","0","S"
"0","3","male",21,"0","0","Q"
"0","1","male",66,"0","0","S"
"0","3","male",18,"3","1","S"
"1","3","female",29,"0","2","S"
"1","2","female",11,"1","0","C"
"1","3","female",48,"1","1","S"
"1","1","female",71,"0","0","S"
"0","3","male",19,"0","0","S"
"0","3","male",47,"1","5","S"
"0","3","female",11,"0","0","S"
"1","2","female",67,"0","0","S"
"0","3","male",18,"4","1","Q"
"1","2","male",40,"0","0","S"
"0","3","female",36,"1","0","S"
"1","3","female",16,"0","0","C"
"0","2","male",42,"0","0","S"
"1","2","male",40,"0","0","S"
"1","3","female",13,"0","0","Q"
"1","1","male",30,"0","0","S"
"0","3","female",86,"3","1","S"
"1","3","female",46,"1","5","S"
"0","3","male",34,"0","0","C"
"0","1","male",17,"3","2","S"
"1","3","female",28,"0","0","Q"
"0","3","male",39,"0","0","S"
"0","1","male",49,"0","0","C"
"1","1","female",23,"1","0","C"
"1","3","female",22,"0","0","Q"
"0","2","male",80,"0","0","S"
"0","1","male",30,"1","0","C"
"0","1","male",52,"1","0","S"
"1","3","male",22,"0","0","C"
"0","3","male",21,"0","0","S"
"0","3","female",16,"2","0","S"
"1","3","female",11,"1","0","C"
"0","3","female",49,"1","0","S"
"0","2","female",29,"1","0","S"
"0","3","male",39,"0","0","C"
"1","2","female",33,"1","2","C"
"1","3","female",17,"0","0","Q"
"0","3","male",25,"0","0","S"
"0","3","male",37,"1","0","Q"
"1","3","female",22,"0","0","Q"
"0","3","male",28,"2","0","C"
"0","3","female",16,"1","0","S"
"0","3","male",81,"4","1","S"
"0","3","male",21,"0","0","S"
"1","1","female",60,"1","0","C"
"1","2","female",32,"1","0","S"
"0","1","male",79,"0","1","C"
"1","1","male",49,"0","0","S"
"1","2","female",21,"0","0","S"
"0","3","male",31,"0","0","C"
"1","2","female",61,"1","2","S"
"0","3","male",8,"5","2","S"
"0","3","male",22,"0","0","C"
"1","1","female",46,"0","0","C"
"0","1","male",55,"1","0","S"
"0","3","male",48,"3","2","S"
"0","1","male",74,"0","0","C"
"1","3","male",48,"1","1","C"
"1","2","female",32,"0","0","S"
"0","3","male",17,"0","0","S"
"1","3","female",15,"4","2","S"
"0","3","male",28,"2","0","S"
"0","2","male",37,"0","0","S"
"0","3","female",14,"5","2","S"
"0","2","male",21,"0","0","S"
"0","3","male",28,"1","0","C"
"1","3","male",37,"0","0","S"
"0","3","male",27,"0","0","S"
"0","3","male",39,"0","0","S"
"0","3","male",25,"0","0","S"
"1","2","male",4,"0","2","S"
"1","3","female",34,"0","0","S"
"0","3","male",22,"0","0","S"
"1","3","male",32,"0","0","S"
"1","3","female",22,"0","0","Q"
"0","1","male",30,"0","0","S"
"1","2","female",15,"0","0","S"
"1","3","female",39,"3","0","S"
"0","3","male",14,"1","3","S"
"0","3","male",25,"0","0","S"
"1","1","female",23,"3","2","S"
"0","3","male",25,"0","0","S"
"0","3","male",32,"0","0","S"
"0","3","male",19,"0","0","S"
"0","1","male",57,"1","0","S"
"0","3","male",28,"1","2","S"
"0","3","male",72,"0","0","S"
"0","3","male",25,"0","0","S"
"0","1","male",84,"0","0","C"
"1","1","male",23,"0","1","C"
"1","2","female",40,"0","1","S"
"0","2","male",40,"1","0","S"
"0","3","female",30,"0","0","S"
"0","3","male",39,"0","0","S"
"0","1","male",21,"0","1","S"
"0","3","male",39,"0","0","S"
"0","3","male",45,"2","0","S"
"0","3","male",30,"0","0","S"
"1","3","female",21,"0","0","S"
"1","3","male",27,"0","0","S"
"0","3","male",46,"0","0","S"
"1","3","female",17,"1","0","Q"
"0","1","male",58,"0","0","S"
"0","3","female",12,"1","0","C"
"0","3","male",22,"0","0","S"
"0","3","female",19,"1","0","S"
"0","3","female",15,"0","0","C"
"0","3","male",21,"0","0","S"
"0","3","male",83,"0","0","Q"
"0","2","male",32,"1","0","S"
"0","1","male",25,"0","1","C"
"0","3","female",18,"4","2","S"
"0","2","male",21,"2","0","S"
"0","3","male",25,"0","0","S"
"0","2","male",38,"1","0","C"
"1","2","female",38,"0","0","S"
"0","1","male",66,"0","1","S"
"1","3","male",9,"1","0","C"
"0","3","male",63,"0","0","Q"
"1","3","male",25,"0","0","S"
"1","3","female",42,"1","1","C"
"0","3","male",55,"0","0","S"
"0","3","male",39,"0","0","C"
"0","3","male",19,"0","0","S"
"0","3","female",58,"1","0","S"
"1","2","female",32,"1","0","S"
"0","2","male",27,"0","0","S"
"0","2","male",23,"0","0","C"
"1","1","female",17,"0","2","S"
"0","1","male",45,"1","0","S"
"0","3","male",14,"0","0","S"
"0","1","male",25,"0","0","C"
"0","3","female",32,"0","2","C"
"1","3","female",22,"0","0","S"
"1","3","female",25,"1","0","S"
"0","3","male",17,"0","0","Q"
"0","2","male",16,"0","0","S"
"0","2","male",17,"1","1","S"
"1","3","male",29,"0","0","S"
"0","3","female",88,"2","2","S"
"0","2","male",44,"0","2","S"
"0","2","male",52,"0","0","S"
"0","2","male",63,"0","0","S"
"1","1","female",22,"1","0","S"
"0","3","male",68,"0","0","S"
"0","3","male",50,"0","2","S"
"0","3","male",22,"0","0","S"
"0","1","male",63,"0","1","C"
"1","3","female",14,"0","0","Q"
"0","3","male",34,"0","0","S"
"0","3","male",39,"0","0","S"
"0","3","male",11,"8","2","S"
"0","3","male",54,"0","1","S"
"1","2","female",49,"0","0","S"
"0","3","male",28,"0","0","S"
"0","3","male",15,"0","0","S"
"0","3","male",6,"4","1","S"
"1","3","male",88,"0","2","S"
"1","1","female",22,"0","1","S"
"0","3","female",55,"1","4","S"
"0","1","male",74,"0","0","S"
"0","3","male",30,"0","0","S"
"0","1","male",75,"0","0","S"
"0","3","male",48,"4","1","Q"
"1","3","female",6,"1","1","S"
"0","3","male",21,"0","0","S"
"0","1","male",69,"0","0","C"
"0","3","male",16,"1","1","S"
"0","3","male",18,"3","1","S"
"0","1","female",62,"0","0","C"
"0","2","male",34,"0","0","S"
"0","3","male",43,"0","0","S"
"0","3","female",21,"8","2","S"
"0","2","male",58,"0","0","C"
"0","3","male",88,"4","2","S"
